instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingChurchID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingInstID,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿boi.id.0004,﻿church,﻿St. Dominick's,English,"﻿Dec. 25, 1863",﻿Grim's Creek,,,,﻿Centreville,﻿Centerville,,,43.912778,-115.892222,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0005,﻿church,﻿St. Francis',English,"﻿Sep. 25, 1864",,,,,﻿Pioneer City,﻿Pioneerville,,﻿ID,43.026111,-116.732778,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0005,﻿church,﻿St. Francis',English,"﻿Sep. 25, 1864",,,,,﻿Pioneer City,﻿Pioneerville,,,43.026111,-116.732778,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0006,﻿church,[Unnamed Institution],English,,﻿on Owhyee River,,,,﻿Ruby City,,,﻿ID,43.38,-111.6,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0006,﻿church,[Unnamed Institution],English,,﻿on Owhyee River,,,,﻿Ruby City,,,,43.38,-111.6,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0007,﻿church,[Unnamed Institution],English,,﻿on Owhyee River,,,,﻿Silver City,﻿Silver City,,﻿ID,45.324167,-118.086667,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0007,﻿church,[Unnamed Institution],English,,﻿on Owhyee River,,,,﻿Silver City,﻿Silver City,,,45.324167,-118.086667,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0008,﻿church,[Unnamed Institution],English,,﻿on Owhyee River,,,﻿Bonneville County,﻿Bonneville,,,,,,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0008,﻿church,[Unnamed Institution],English,,﻿on Owhyee River,,,﻿Bonneville County,﻿Bonneville,,,,,,﻿boi.id.0003,,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
﻿boi.id.0009,﻿church,[Unnamed Institution],English,,﻿on Grand Bend River,,,﻿Union County,﻿La Grande,,,﻿OR,,,﻿boi.id.0001,﻿attended from St. Thomas & St. Joseph,,,,,,,,,,,,1868,﻿,﻿,﻿,﻿Oregon City,OregonCity
