instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ral.nc.9009,﻿station,[Unnamed Institution],English,,,,,,﻿Hartford,,﻿NC,,,,,﻿[attended by] Rev. Francis Farrall,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1838,"﻿https://en.wikipedia.org/wiki/Hertford,_North_Carolina Seems like it might mean Hertford",,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,[Unnamed Institution],English,﻿about 30 miles below Washington,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.084575,-77.068429,,﻿[attended by] Rev. Francis Farrall,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1838,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.471676,-81.966806,,,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,﻿Vic. For.,,,,,1838,﻿https://themostholytrinity.org/our-history,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0015,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.2411,-81.362,﻿sav.ga.0003,﻿visited from Augusta,﻿visited two or three times a year,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1838,﻿St. Andrew's | https://en.wikipedia.org/wiki/Saint_Andrew%27s_Catholic_Church,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0021,﻿church,[Unnamed Institution],English,,,,,,﻿Edgarfield,﻿Edgefield,﻿SC,,33.783333,-81.933333,﻿sav.ga.0003,﻿visited from Augusta,﻿visited two or three times a year,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.073357,-81.090983,,,,﻿jer_f_oneill_001,﻿Rev.,﻿Jer. F. O'Neill,,﻿Pastor,,,,,,1838,"﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._John_the_Baptist_(Savannah,_Georgia)",,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,﻿Assistant,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,﻿and the South Eastern Counties,,,,,﻿Darien,,﻿GA,,31.376293,-81.433184,﻿sav.ga.0001,﻿visited from Savannah,﻿visited twice or thrice in the year,,,,,,,,,,,1838,﻿https://nativitydarien.org/who-we-are/,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9004,﻿station,[Unnamed Institution],English,﻿adjoining stations,,,,,,,﻿GA,,34.290278,-83.829444,﻿sav.ga.0001,﻿visited from Savannah,﻿visited twice or thrice in the year,,,,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0006,﻿church,﻿SS. Philip and James,English,,,,,,﻿Columbus,﻿Columbus,﻿GA,,32.460976,-84.987709,,,,﻿jam_graham_901,﻿Rev.,﻿James Graham,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
