instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0121,﻿school,﻿Female School of St. Vincent of Paul,English,,﻿four miles and a half from Morganfield,,﻿Union County,,,,﻿KY,,37.684632,-87.917915,,,,,,,,,,﻿religious,﻿6 sisters,,,1838,,,"﻿The branches taught are as follows: Reading, Writing, Arithmetic, English Grammar, Geography, History; Plain and Fancy Needle-Work, Marking, Lace-Work, Bead-Work, &c.; Drawing and Painting in water colors; Music on the Piano Forte; also, Vocal Music.","﻿The branches taught are as follows: Reading, Writing, Arithmetic, English Grammar, Geography, History; Plain and Fancy Needle-Work, Marking, Lace-Work, Bead-Work, &c.; Drawing and Painting in water colors; Music on the Piano Forte; also, Vocal Music.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0121,﻿school,﻿Female School of St. Vincent of Paul,English,,﻿four miles and a half from Morganfield,,﻿Union County,,,,﻿KY,,37.684632,-87.917915,,,,,,,,,,﻿boarder,﻿60 boarders,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.9000,﻿academy,﻿Female Academy,English,,,,,,﻿Lexington,,﻿KY,,,,,,,,,,,,,﻿religious,﻿7 sisters,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.9000,﻿academy,﻿Female Academy,English,,,,,,﻿Lexington,,﻿KY,,,,,,,,,,,,,﻿boarder,﻿35 boarders,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.9000,﻿academy,﻿Female Academy,English,,,,,,﻿Lexington,,﻿KY,,,,,,,,,,,,,﻿student,﻿25 day scholars,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9029,﻿academy,﻿Female Academy,English,,,,,,﻿Louisville,,﻿KY,,,,,,,,,,,,,﻿religious,﻿4 sisters,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9029,﻿academy,﻿Female Academy,English,,,,,,﻿Louisville,,﻿KY,,,,,,,,,,,,,﻿student,﻿75 day scholars,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,﻿Mr. Niven and Mr. Blancagniel are agents for Loretto,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,﻿KY,37.659636,-85.395933,,,,﻿ben_j_flaget_901,﻿Rt. Rev. Dr.,﻿Flaget,,﻿Moderator,﻿Bishop of Bardstown,﻿tutoress,﻿8 tutoresses,,,1838,,,"﻿Reading, Writing, Arithmetic, English Grammar, Geography with the use of Maps and Globes, History, Ancient and Modern, with Chronology and Mythology, Rhetoric and Composition, Botany, Optics and the Elements of Mechanics, Hydrostatics and Astronomy, Chemistry and Natural Philosophy, the French Language, Needle work, plain and fancy, Marking, Lace and Bead work, Drawing and Painting in water colors, Crayon Drawing, Painting on Satin and Velvet, Music, Vocal and on the Piano Forte.","﻿Reading, Writing, Arithmetic, English Grammar, Geography with the use of Maps and Globes, History, Ancient and Modern, with Chronology and Mythology, Rhetoric and Composition, Botany, Optics and the Elements of Mechanics, Hydrostatics and Astronomy, Chemistry and Natural Philosophy, the French Language, Needle work, plain and fancy, Marking, Lace and Bead work, Drawing and Painting in water colors, Crayon Drawing, Painting on Satin and Velvet, Music, Vocal and on the Piano Forte.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,﻿Mr. Niven and Mr. Blancagniel are agents for Loretto,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,,37.659636,-85.395933,,,,﻿peterson_lou.ky_901,,﻿Peterson,,﻿Professor,,﻿student,﻿70 pupils,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,﻿Mr. Niven and Mr. Blancagniel are agents for Loretto,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,,37.659636,-85.395933,,,,﻿madame_blaique_lou.ky_901,,﻿Madame Blaique,,,"﻿has schools in Lexington, Louisville, Cincinnati",﻿student,﻿70 pupils,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,﻿Mr. Niven and Mr. Blancagniel are agents for Loretto,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,,37.659636,-85.395933,,,,,﻿Miss,﻿Josephine Kelly,,,,﻿student,﻿70 pupils,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,﻿Mr. Niven and Mr. Blancagniel are agents for Loretto,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,,37.659636,-85.395933,,,,﻿guy_i_chabrat_901,﻿Right Rev. Dr.,﻿Chabrat,,﻿Bishop Coadjutor of Bardstown,,﻿student,﻿70 pupils,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9022,﻿monastery,[Unnamed Institution],English,,﻿Bethlehem,,,,﻿Elizabethtown,,﻿KY,,37.699955,-85.873355,,,,,,,,,,﻿religious,﻿6 sisters,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9022_02,﻿school,[Unnamed Institution],English,,﻿Bethlehem,,,,﻿Elizabethtown,,﻿KY,,37.699955,-85.873355,,,,,,,,,,﻿student,﻿50 pupils,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9034,﻿convent,﻿Convent of Holy Mary,English,,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,﻿KY,37.659636,-85.395933,,,,,,,,,,﻿religious,﻿6 sisters,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
