instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿har.ct.0040,﻿church,﻿St. Mary's,English,,﻿East-Bridgeport,,,﻿Fairfield County,﻿Bridgeport,﻿Bridgeport,﻿CT,,41.1814605,-73.1788739,,,,,,﻿fra_j_lenihan_001,﻿Rev.,﻿Francis J. Lenihan,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0041,﻿church,﻿Immaculate Conception,English,,,,,﻿New Haven County,﻿Birmingham,﻿Derby,﻿CT,,41.3206523,-73.0889973,,,,,,﻿joh_sheridan_001,﻿Rev.,﻿John Sheridan,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0043,﻿church,﻿Immaculate Conception,English,,,,,﻿New Haven County,﻿Branford,﻿Branford,﻿CT,,41.2799027,-72.8141185,,,,,,﻿tho_quinn_003,﻿Rev.,﻿Thomas Quinn,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0044,﻿church,﻿St. Joseph's,English,,,,,﻿Hartford County,﻿Bristol,﻿Bristol,﻿CT,,41.6775744,-72.93851490000002,﻿har.ct.0093,,﻿attended from New Britain,﻿Mass every second Sunday,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0045,﻿church,not recorded,English,﻿church not dedicated,,,﻿Tolland Co.,﻿Hartford County,﻿Broadbrook,﻿Broad Brook,﻿CT,,41.9123195,-72.5450873,﻿har.ct.0130,,﻿attended from Thompsonville,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0046,﻿church,not recorded,English,,,,﻿Fairfield Co.,﻿Fairfield County,﻿Brookfield,﻿Brookfield,﻿CT,,41.48259470000001,-73.4095652,﻿har.ct.0103,,﻿attended from Newtown,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0047,﻿church,﻿St. Bridget's,English,,,,,﻿New Haven County,﻿Cheshire,﻿Cheshire,﻿CT,,41.502835,-72.904413,,,,,,﻿tho_drea_001,﻿Rev.,﻿Thomas Drea,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0048,﻿church,﻿St. Joseph's,English,,,,﻿New Haven Co.,﻿Middlesex County,﻿Chester,﻿Chester,﻿CT,,41.4011399,-72.44138079999999,﻿har.ct.0050,,﻿attended from Colchester,﻿Mass once a month,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0049,﻿church,not recorded,English,,,,﻿New Haven Co.,﻿Middlesex County,﻿Clinton,﻿Clinton,﻿CT,,41.2882208,-72.52880340000002,﻿har.ct.0043,,﻿attended from Branford,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0050,﻿church,not recorded,English,﻿church not dedicated,,,,﻿New London County,﻿Colchester,﻿Colchester,﻿CT,,41.5742106,-72.327698,,,,,,﻿pat_creighton_001,﻿Rev.,﻿P. Creighton,,,,,,,1864,﻿Hartford,Hartford
